.1.3.6.1.2.1.1.1.0 ePowerSwitch 8XM
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.24734.1
.1.3.6.1.4.1.24734.13.7.1.1.5.8 1
.1.3.6.1.4.1.24734.13.7.1.1.5.101 1
.1.3.6.1.4.1.24734.13.7.1.1.5.102 1
.1.3.6.1.4.1.24734.13.7.1.1.5.103 1
.1.3.6.1.4.1.24734.13.7.1.1.5.104 1
.1.3.6.1.4.1.24734.13.7.1.1.5.105 1
.1.3.6.1.4.1.24734.13.7.1.1.5.106 1
.1.3.6.1.4.1.24734.13.7.1.1.5.107 1
.1.3.6.1.4.1.24734.13.7.1.1.5.108 1
.1.3.6.1.4.1.24734.13.8.1.1.1.1 DO1
.1.3.6.1.4.1.24734.13.8.1.1.1.2 DO2
.1.3.6.1.4.1.24734.13.8.1.1.1.3 DO3
.1.3.6.1.4.1.24734.13.8.1.1.1.4 DO4
.1.3.6.1.4.1.24734.13.8.1.1.2.1 - nc -
.1.3.6.1.4.1.24734.13.8.1.1.2.2 - nc -
.1.3.6.1.4.1.24734.13.8.1.1.2.3 - nc -
.1.3.6.1.4.1.24734.13.8.1.1.2.4 - nc -
.1.3.6.1.4.1.24734.13.8.1.1.3.1 Closed
.1.3.6.1.4.1.24734.13.8.1.1.3.2 Closed
.1.3.6.1.4.1.24734.13.8.1.1.3.3 Closed
.1.3.6.1.4.1.24734.13.8.1.1.3.4 Closed
